ra,dec,vmag,bv
83.18249999999999,-17.822222222222223,2.58,0.21
83.85833333333332,-5.91,2.77,-0.24
84.05333333333333,-1.2019444444444445,1.70,-0.19
84.41125,21.1425,3.00,-0.19
85.18958333333332,-1.9427777777777777,2.05,-0.21
84.91208333333333,-34.07416666666667,2.64,-0.12
86.93916666666665,-9.669722222222221,2.06,-0.17
87.73999999999998,-35.76833333333333,3.12,1.16
88.79291666666666,7.406944444444445,0.50,1.85
89.88208333333333,44.9475,1.90,0.03
89.93041666666666,37.212500000000006,2.62,-0.08
93.71916666666665,22.506666666666668,3.28,1.60
95.0783333333333,-30.063333333333333,3.02,-0.19
95.73999999999998,22.51361111111111,2.88,1.64
95.67499999999998,-17.95583333333333,1.98,-0.23
95.98791666666666,-52.69583333333333,-0.72,0.15
99.42791666666666,16.399166666666666,1.93,0.00
99.44041666666666,-43.19611111111111,3.17,-0.11
100.98291666666665,25.13111111111111,2.98,1.40
101.32249999999998,12.895555555555555,3.36,0.43
101.28708333333331,-16.71611111111111,-1.46,0.00
102.04749999999999,-61.94138888888889,3.27,0.21
102.48416666666665,-50.61472222222223,2.93,1.20
104.65625,-28.97222222222222,1.50,-0.21
105.42958333333331,-27.934722222222224,3.47,1.73
105.75624999999998,-23.833333333333332,3.02,-0.08
107.09791666666665,-26.393333333333334,1.84,0.68
109.28583333333331,-37.097500000000004,2.70,1.62
111.02374999999999,-29.303055555555556,2.45,-0.08
111.7875,8.289444444444444,2.90,-0.09
112.30749999999999,-43.30138888888889,3.25,1.51
113.64999999999998,31.88861111111111,2.88,0.04
113.64999999999998,31.888333333333332,1.98,0.03
114.82541666666665,5.2250000000000005,0.38,0.42
116.32874999999999,28.02611111111111,1.14,1.00
117.32374999999998,-24.859722222222224,3.34,1.24
119.19458333333333,-52.98222222222223,3.47,-0.18
120.89625,-40.00333333333333,2.25,-0.26
121.88583333333332,-24.304166666666667,2.81,0.43
122.38333333333331,-47.336666666666666,1.78,-0.22
125.62833333333332,-59.50972222222222,1.86,1.28
127.56624999999997,60.71805555555556,3.36,0.84
131.69416666666666,6.4188888888888895,3.38,0.68
131.1758333333333,-54.708333333333336,1.96,0.04
133.8483333333333,5.945555555555556,3.11,1.00
134.80166666666662,48.041666666666664,3.14,0.19
136.99916666666664,-43.4325,2.21,1.66
137.74166666666665,-58.966944444444444,3.44,-0.19
138.29999999999998,-69.71722222222222,1.68,0.00
139.27249999999998,-59.275277777777774,2.25,0.18
140.26375,34.3925,3.13,1.55
140.52833333333334,-55.01083333333333,2.50,-0.18
141.89666666666665,-8.658611111111112,1.98,1.44
143.21416666666664,51.67722222222222,3.17,0.46
142.80541666666667,-57.03444444444444,3.13,1.55
146.46291666666664,23.774166666666666,2.98,0.80
146.77541666666664,-65.07194444444444,3.01,0.28
152.09291666666664,11.967222222222222,1.35,-0.11
154.17249999999999,23.41722222222222,3.44,0.31
154.27416666666664,42.91444444444444,3.45,0.03
153.43416666666664,-70.03805555555556,3.32,-0.08
154.27083333333331,-61.33222222222223,3.40,1.54
154.99291666666664,19.841666666666665,2.61,1.15
155.58208333333332,41.49944444444444,3.05,1.59
158.0058333333333,-61.68527777777778,3.32,-0.09
160.73916666666665,-64.39444444444445,2.76,-0.22
161.6925,-49.419999999999995,2.69,0.90
162.40624999999997,-16.19361111111111,3.11,1.25
165.46041666666667,56.3825,2.37,-0.02
165.9320833333333,61.75083333333333,1.79,1.07
167.41583333333332,44.49861111111111,3.01,1.14
168.5270833333333,20.52361111111111,2.56,0.12
168.55999999999997,15.429444444444444,3.34,-0.01
169.6195833333333,33.094166666666666,3.48,1.40
173.945,-63.01972222222222,3.13,-0.04
177.26499999999996,14.571944444444444,2.14,0.09
178.45749999999995,53.69472222222222,2.44,0.00
182.0895833333333,-50.722500000000004,2.60,-0.12
182.53124999999997,-22.619722222222222,3.00,1.33
183.78625,-58.74888888888889,2.80,-0.23
183.85666666666665,57.0325,3.31,0.08
183.95166666666663,-17.541944444444447,2.59,-0.11
186.6495833333333,-63.09916666666667,1.33,-0.24
186.6520833333333,-63.099444444444444,1.73,-0.26
187.46624999999997,-16.515555555555554,2.95,-0.05
187.79125,-57.11333333333334,1.63,1.59
188.59666666666664,-23.396666666666665,2.65,0.89
189.29583333333332,-69.13555555555556,2.69,-0.20
190.37916666666666,-48.959722222222226,2.17,-0.01
191.57041666666666,-68.10805555555555,3.05,-0.18
191.92999999999998,-59.68861111111111,1.25,-0.23
193.50708333333333,55.959722222222226,1.77,-0.02
193.90083333333328,3.3975,3.38,1.58
194.00708333333333,38.318333333333335,2.90,-0.12
195.54416666666665,10.959166666666667,2.83,0.94
199.73041666666666,-23.171666666666667,3.00,0.92
200.14916666666664,-36.71222222222222,2.75,0.04
200.98124999999996,54.92527777777777,2.27,0.02
201.2983333333333,-11.161388888888888,0.98,-0.23
203.6733333333333,-0.5958333333333333,3.37,0.11
204.97166666666666,-53.46638888888889,2.30,-0.22
207.37624999999997,-41.687777777777775,3.41,-0.22
206.885,49.31333333333333,1.86,-0.19
